2.6V,,,3V,,,4V,,,5V,,,,,,
,,,,,,,,,,,,,,,
8.09,0.85,,8.16,0.48,,8.17,0.27,,8.16,0.88,,,,,
13.1,0.9,,13.16,0.25,,13.17,0.37,,13.16,1,,,,,
18.11,0.94,,18.17,0.56,,18.18,0.47,,18.17,1.43,,,,,
23.11,0.97,,23.18,0.61,,23.19,0.57,,23.18,1.25,,,,,
28.12,1,,28.19,0.68,,28.2,0.66,,28.19,1.37,,,,,
33.13,1.02,,33.19,0.73,,33.21,0.78,,33.19,1.52,,,,,
38.13,1.06,,38.2,0.69,,38.21,0.9,,38.2,1.68,,,,,
43.14,1.08,,43.21,0.82,,43.22,1.01,,43.21,1.83,,,,,
48.15,1.08,,48.22,0.88,,48.23,1.11,,48.22,1.97,,,,,
53.16,1.09,,53.22,0.94,,53.24,1.11,,53.23,2.06,,,,,
58.16,1.12,,58.23,0.98,,58.24,1.31,,58.23,2.28,,,,,
63.17,1.14,,63.24,1.01,,63.25,1.42,,63.24,2.44,,,,,
68.18,1.17,,68.25,1.06,,68.26,1.51,,68.25,2.6,,,,,
73.19,1.19,,73.26,1.11,,73.27,1.64,,73.26,2.76,,,,,
78.2,1.2,,78.26,1.16,,78.27,1.65,,78.26,2.92,,,,,
83.2,1.31,,83.27,1.2,,83.28,1.82,,83.27,3.08,,,,,
88.21,1.26,,88.28,1.27,,88.29,1.91,,88.28,3.26,,,,,
93.22,1.26,,93.29,1.67,,93.3,2.01,,93.29,3.39,,,,,
98.22,1.3,,98.3,1.36,,98.3,2.1,,98.3,3.45,,,,,
103.23,1.32,,103.3,1.4,,103.31,2.18,,103.3,3.51,,,,,
108.24,1.32,,108.31,1.42,,108.32,2.28,,108.31,3.66,,,,,
113.25,1.36,,113.32,1.45,,113.33,2.62,,113.32,4.13,,,,,
118.26,1.37,,118.32,1.48,,118.34,2.47,,118.33,5.12,,,,,
123.26,0.79,,123.33,1.55,,123.34,2.57,,123.33,5.12,,,,,
128.27,1.39,,128.34,1.58,,128.35,2.68,,128.34,5.12,,,,,
133.28,1.43,,133.35,1.6,,133.36,2.79,,133.35,5.12,,,,,
138.28,1.42,,138.35,1.66,,138.37,2.88,,138.36,5.12,,,,,
143.29,1.44,,143.36,1.69,,143.37,2.98,,143.36,5.12,,,,,
148.3,1.37,,148.37,1.74,,148.38,2.97,,148.37,5.12,,,,,
153.31,1.48,,153.38,1.78,,153.39,3.19,,153.38,5.12,,,,,
158.32,1.52,,158.38,1.8,,158.4,3.3,,158.39,5.12,,,,,
163.32,1.52,,163.39,1.84,,163.4,3.37,,163.4,5.12,,,,,
168.33,1.55,,168.4,1.88,,168.41,3.42,,168.4,5.12,,,,,
173.34,1.55,,173.41,1.91,,173.42,3.45,,173.41,5.12,,,,,
178.34,1.58,,178.41,1.97,,178.43,3.49,,178.42,5.12,,,,,
