"ets Jun  8 2%�����4",�1��3.16,0.62
1695.77,5.12,
1700.78,5.12,
1705.78,5.12,
1710.80,5.12,
1715.80,5.12,
1720.81,5.12,
1725.82,5.12,
1730.83,5.12,
1735.84,5.12,
1740.84,5.12,
1745.85,5.12,
1750.86,5.12,
1755.86,5.12,
1760.87,5.12,
1765.88,5.12,
1770.89,5.12,
1775.90,5.12,
1780.91,5.12,
1785.91,5.12,
1790.92,5.12,
1795.93,5.12,
1800.94,5.12,
1805.94,5.12,
1810.95,5.12,
1815.96,5.12,
1820.97,5.12,
1825.98,5.12,
1830.98,5.12,
1836.00,5.12,
1841.01,5.12,
1846.01,5.12,
1851.02,5.12,
1856.03,5.12,
1861.04,5.12,
1866.05,5.12,
1871.05,5.12,
1876.06,5.12,
1881.07,5.12,
1886.08,5.12,
1891.09,5.12,
1896.09,5.12,
1901.10,5.12,
1906.11,5.12,
1911.12,5.12,
1916.12,5.12,
1921.13,5.12,
1926.14,5.12,
1931.15,5.12,
1936.15,5.12,
1941.16,5.12,
1946.17,5.12,
1951.18,5.12,
1956.19,5.12,
1961.19,5.12,
1966.20,5.12,
1971.21,5.12,
1976.22,5.12,
1981.22,5.12,
1986.23,5.12,
1991.24,5.12,
1996.25,5.12,
2001.25,5.12,
